Query, response, time
1, 0, 0.0006649
2, 0, 0.0003609
3, 0, 0.0005019
4, 0, 9.49e-05
5, 0, 0.0031419
6, 0, 4.39e-05
7, 0, 4.29e-05
8, 0, 0.0033459
9, 0, 0.0115789
10, 0, 5.69e-05
11, 0, 3.79e-05
12, 1, 0.0017139
13, 0, 2.99e-05
14, 0, 3.59e-05
15, 0, 3.59e-05
16, 1, 0.0011899
17, 1, 0.0070549
18, 1, 0.0189449
19, 1, 0.0023829
20, 0, 0.0619499
21, 1, 0.0033429
22, 0, 3.29e-05
23, 0, 4.19e-05
24, 0, 4.69e-05
25, 0, 0.0004779
26, 0, 0.0002569
27, 0, 2.89e-05
28, 1, 0.0020489
29, 1, 0.0021099
30, 0, 7.09e-05
31, 0, 3.39e-05
32, 0, 5.09e-05
33, 0, 5.19e-05
34, 0, 0.0001259
35, 1, 0.0081059
36, 0, 4.59e-05
37, 1, 0.0029419
38, 1, 0.0038209
39, 1, 0.0008959
40, 1, 0.0039069
41, 0, 0.0005499
42, 0, 0.0001619
43, 0, 7.29e-05
44, 1, 0.0310249
45, 0, 6.09e-05
46, 1, 0.0280309
47, 0, 5.09e-05
48, 0, 4.99e-05
49, 0, 4.89e-05
50, 1, 0.0020569
51, 0, 4.69e-05
52, 0, 5.79e-05
53, 0, 4.59e-05
54, 0, 4.89e-05
55, 1, 0.0044949
56, 1, 0.0008799
57, 1, 0.0027179
58, 0, 8.19e-05
59, 0, 4.89e-05
60, 0, 0.0002099
61, 0, 9.59e-05
62, 0, 5.19e-05
63, 0, 0.0002569
64, 0, 0.0376939
65, 0, 6.39e-05
66, 0, 4.99e-05
67, 0, 0.0005289
68, 1, 0.0033659
69, 0, 4.89e-05
70, 1, 0.0043139
71, 0, 4.69e-05
72, 0, 0.0001299
73, 0, 0.0003519
74, 0, 7.89e-05
75, 0, 0.0001619
76, 0, 8.29e-05
77, 0, 9.79e-05
78, 1, 0.0034369
79, 0, 7.59e-05
80, 0, 0.0002519
81, 1, 0.0041479
82, 0, 0.0001039
83, 1, 0.0063239
84, 1, 0.0021559
85, 1, 0.0021849
86, 1, 0.0037989
87, 0, 0.0049149
88, 0, 4.69e-05
89, 1, 0.0079609
90, 0, 0.0001449
91, 1, 0.0097709
92, 0, 7.09e-05
93, 0, 0.0010619
94, 1, 0.0027649
95, 1, 0.0056389
96, 0, 0.0002059
97, 0, 4.89e-05
98, 0, 4.39e-05
99, 1, 0.0041239
100, 0, 0.0001039
101, 0, 4.29e-05
102, 0, 0.0002099
103, 1, 0.0030539
104, 1, 0.0027939
105, 0, 5.99e-05
106, 1, 0.0006979
107, 0, 7.49e-05
108, 0, 0.0002279
109, 0, 0.0007439
110, 0, 4.69e-05
