Query, response, time
1, 0, 0.00031894
2, 1, 0.00963494
3, 0, 0.00015794
4, 1, 0.00448994
5, 0, 8.494e-05
6, 0, 0.00051094
7, 0, 6.994e-05
8, 0, 8.394e-05
9, 0, 0.00337594
10, 0, 0.00059594
11, 1, 0.00849394
12, 0, 0.00020594
13, 0, 0.00020594
14, 0, 5.394e-05
15, 0, 5.694e-05
16, 0, 0.00033794
17, 0, 6.094e-05
18, 1, 0.00779394
19, 1, 0.0109319
20, 1, 0.00386894
21, 0, 5.794e-05
22, 0, 5.394e-05
23, 0, 0.0466949
24, 0, 0.00010894
25, 1, 0.00922594
26, 0, 7.294e-05
27, 0, 0.00021894
28, 0, 0.00011094
29, 0, 5.794e-05
30, 0, 5.594e-05
31, 0, 0.00029694
32, 0, 7.794e-05
33, 0, 0.0533319
34, 0, 0.00023994
35, 1, 0.00966194
36, 0, 0.00016594
37, 1, 0.00685994
38, 0, 8.594e-05
39, 0, 8.594e-05
40, 0, 6.194e-05
41, 0, 0.00015694
42, 1, 0.00250294
43, 0, 6.294e-05
44, 1, 0.00514794
45, 0, 8.694e-05
46, 0, 0.00010294
47, 0, 0.00029494
48, 0, 9.794e-05
49, 1, 0.00318594
50, 0, 4.594e-05
51, 0, 0.0885099
52, 0, 0.0102409
53, 0, 0.00022594
54, 0, 0.0716019
55, 0, 7.294e-05
56, 0, 5.994e-05
57, 0, 0.00054594
58, 0, 8.594e-05
59, 0, 0.0808039
60, 0, 0.00040794
61, 0, 4.294e-05
62, 0, 0.00020794
63, 0, 5.494e-05
64, 1, 0.00175894
65, 0, 0.00025194
66, 0, 7.794e-05
67, 0, 5.994e-05
68, 0, 0.00040094
69, 0, 0.00012894
70, 0, 9.094e-05
71, 0, 5.794e-05
72, 0, 6.394e-05
73, 0, 0.00017094
74, 1, 0.00710694
75, 0, 0.00048994
76, 1, 0.00426294
77, 0, 0.00017794
78, 1, 0.00790794
79, 0, 0.00016694
80, 0, 7.894e-05
81, 1, 0.0360469
82, 0, 0.00010194
83, 0, 9.394e-05
84, 0, 0.00014494
85, 0, 0.0813709
86, 1, 0.00470494
87, 0, 9.294e-05
88, 1, 0.00636294
89, 1, 0.00537594
90, 0, 0.0115009
91, 1, 0.00523794
92, 0, 3.694e-05
93, 1, 0.00303194
94, 0, 0.0131099
95, 0, 7.094e-05
96, 1, 0.00191794
97, 1, 0.0100879
98, 0, 0.00010294
99, 1, 0.00189494
100, 0, 0.00014594
101, 0, 0.00012294
102, 0, 0.00015094
103, 0, 0.00894394
104, 0, 6.594e-05
105, 1, 0.0103139
106, 0, 7.694e-05
107, 0, 0.0281379
108, 1, 0.0110999
109, 0, 0.00012094
110, 0, 6.894e-05
111, 0, 0.0361039
112, 0, 7.794e-05
113, 1, 0.00466894
114, 0, 0.00011294
115, 0, 4.094e-05
116, 0, 0.00020494
117, 0, 6.994e-05
118, 0, 0.00017294
119, 0, 0.00011194
120, 0, 0.0215029
121, 1, 0.00256594
122, 0, 0.00116894
123, 1, 0.0151609
124, 0, 0.00017794
125, 0, 7.594e-05
126, 0, 4.494e-05
127, 0, 0.00010894
128, 0, 0.00012994
129, 0, 0.00023994
130, 1, 0.00096094
131, 0, 5.494e-05
132, 0, 0.00014794
133, 0, 0.00026894
134, 1, 0.00964294
135, 0, 0.00029094
136, 0, 0.0485719
137, 0, 0.00083894
138, 0, 0.00016094
139, 1, 0.0127339
140, 0, 0.00015694
141, 0, 0.00031394
142, 0, 0.0251869
143, 0, 6.494e-05
144, 1, 0.00745094
145, 0, 6.994e-05
146, 0, 5.094e-05
147, 0, 8.494e-05
148, 0, 0.00034394
149, 1, 0.00442094
150, 1, 0.0100879
151, 1, 0.0493379
152, 0, 8.194e-05
153, 0, 7.594e-05
154, 1, 0.0167499
155, 0, 7.594e-05
156, 1, 0.00479194
157, 0, 0.00012494
158, 0, 7.394e-05
159, 0, 0.0903349
160, 0, 7.194e-05
161, 0, 0.0715599
162, 0, 7.594e-05
163, 0, 0.00013094
164, 1, 0.00244694
165, 0, 0.00014594
166, 0, 0.00022094
167, 0, 8.394e-05
168, 0, 0.00010394
169, 0, 7.094e-05
170, 1, 0.00433494
171, 0, 0.00024394
172, 1, 0.0316239
173, 0, 7.494e-05
174, 0, 6.394e-05
175, 0, 0.0365979
176, 0, 8.094e-05
177, 0, 0.00014594
178, 1, 0.0305449
179, 0, 0.00025994
180, 0, 0.00019694
181, 0, 5.894e-05
182, 0, 0.00013994
183, 1, 0.0537349
184, 0, 0.00014394
185, 0, 0.00286794
186, 0, 8.694e-05
187, 0, 4.194e-05
188, 0, 0.00015294
189, 0, 3.794e-05
190, 0, 6.094e-05
191, 0, 6.694e-05
192, 1, 0.0202149
193, 0, 0.00022994
194, 0, 0.00012094
195, 0, 0.0176949
196, 0, 7.594e-05
197, 0, 5.994e-05
198, 1, 0.00320194
199, 1, 0.00860194
200, 0, 0.0486699
201, 0, 0.00024494
202, 0, 5.094e-05
203, 0, 9.394e-05
204, 0, 6.494e-05
205, 0, 0.00020294
206, 0, 6.194e-05
207, 1, 0.00522594
208, 0, 5.494e-05
209, 1, 0.00643094
210, 0, 0.0725899
211, 0, 0.00049594
212, 0, 7.994e-05
213, 0, 5.594e-05
214, 0, 0.0451999
215, 0, 6.894e-05
216, 0, 0.00016094
217, 0, 4.294e-05
218, 1, 0.00559594
219, 0, 0.0160049
220, 0, 0.00028894
221, 0, 0.00028494
222, 0, 6.694e-05
223, 1, 0.0106279
224, 0, 0.00013994
225, 0, 0.0931759
226, 1, 0.00749394
227, 0, 6.594e-05
228, 0, 8.294e-05
229, 0, 6.494e-05
230, 0, 0.00013294
