Query, response, time
1, 1, 0.00624292
7, 0, 1.192e-05
9, 0, 9.92e-06
10, 1, 0.00075992
11, 0, 8.92e-06
12, 0, 6.792e-05
13, 0, 7.992e-05
17, 0, 0.00014292
18, 1, 0.0113959
19, 0, 1.192e-05
20, 1, 0.00353492
21, 0, 0.0123169
25, 1, 0.00102792
28, 0, 0.00010892
29, 1, 0.00146992
30, 0, 9.92e-06
31, 0, 8.92e-06
34, 0, 0.00012992
37, 1, 0.00215092
39, 0, 9.92e-06
41, 0, 9.92e-06
45, 1, 0.00188992
50, 0, 9.92e-06
51, 0, 0.00012892
53, 0, 0.00018492
59, 0, 9.92e-06
64, 1, 0.00201892
65, 1, 0.00672892
67, 1, 0.00364892
70, 0, 9.92e-06
72, 1, 0.00240892
73, 0, 8.92e-06
76, 0, 0.00011292
77, 1, 0.00178992
78, 1, 0.00402092
80, 1, 0.00806892
90, 0, 0.0156979
92, 0, 0.0100639
96, 1, 0.00357992
97, 1, 0.00774992
98, 0, 0.00014092
101, 0, 8.92e-06
108, 0, 0.0143679
111, 1, 0.00429692
119, 0, 0.00017692
120, 1, 0.0115619
122, 0, 9.92e-06
124, 0, 0.00011992
125, 0, 7.592e-05
127, 0, 0.00010192
129, 0, 1.092e-05
130, 1, 0.00131992
132, 0, 1.092e-05
133, 0, 0.00010292
138, 0, 9.92e-06
139, 1, 0.00134592
141, 0, 0.00026492
145, 0, 0.00012792
146, 1, 0.00355192
147, 1, 0.00208092
148, 0, 9.92e-06
151, 0, 9.492e-05
157, 0, 4.592e-05
160, 0, 0.0102949
163, 0, 9.92e-06
169, 0, 8.92e-06
174, 0, 0.00012392
175, 0, 8.92e-06
176, 0, 6.392e-05
178, 1, 0.00083092
179, 0, 9.92e-06
180, 0, 7.92e-06
181, 1, 0.00106192
187, 0, 0.00056592
188, 0, 0.00030892
189, 0, 8.92e-06
190, 0, 8.92e-06
194, 0, 7.92e-06
195, 0, 0.00826392
197, 0, 1.092e-05
198, 1, 0.00051692
200, 1, 0.00172692
201, 0, 9.92e-06
203, 0, 8.92e-06
204, 1, 0.00322692
210, 0, 1.592e-05
215, 0, 1.392e-05
218, 0, 0.0175729
221, 0, 9.92e-06
224, 0, 8.92e-06
227, 1, 0.00723492
228, 0, 1.092e-05
234, 0, 0.00013492
236, 1, 0.00065492
242, 0, 9.92e-06
253, 0, 8.92e-06
254, 0, 7.92e-06
255, 0, 8.92e-06
256, 0, 8.192e-05
257, 0, 0.00012792
258, 1, 0.00357992
264, 1, 0.00133992
266, 1, 0.00243792
269, 1, 0.00129892
272, 0, 0.00951092
275, 0, 9.92e-06
276, 0, 9.092e-05
278, 1, 0.00087992
284, 0, 8.92e-06
286, 0, 8.92e-06
288, 0, 0.00816792
289, 0, 0.00014592
292, 1, 0.00049492
293, 1, 0.00257592
297, 1, 0.00874092
300, 1, 0.00291792
301, 0, 0.00032492
307, 0, 0.00014392
308, 1, 0.00153292
313, 0, 9.92e-06
316, 1, 0.00095992
318, 0, 0.00024392
322, 0, 7.592e-05
324, 0, 8.92e-06
327, 0, 0.00751092
328, 1, 0.00916092
330, 0, 9.92e-06
331, 0, 0.00012192
335, 0, 8.92e-06
337, 1, 0.00212092
