Query, response, time
1, 0, 2.094e-05
2, 1, 0.00055994
3, 0, 0.00021894
4, 0, 0.00015894
5, 0, 0.00012094
6, 0, 7.194e-05
7, 0, 1.294e-05
8, 0, 9.394e-05
9, 0, 1.194e-05
10, 1, 0.00057794
11, 1, 0.00227894
12, 0, 1.094e-05
13, 1, 0.00034594
14, 0, 8.94e-06
15, 0, 8.94e-06
16, 0, 7.94e-06
17, 1, 0.00174294
18, 0, 8.94e-06
19, 0, 0.0100179
20, 0, 1.094e-05
21, 0, 4.594e-05
22, 1, 0.00127594
23, 0, 1.094e-05
24, 0, 4.094e-05
25, 0, 0.00735594
26, 1, 0.00137394
27, 0, 1.894e-05
28, 1, 0.00033194
29, 0, 7.094e-05
30, 0, 2.694e-05
31, 0, 5.794e-05
32, 0, 7.94e-06
33, 0, 1.594e-05
34, 0, 6.194e-05
35, 0, 8.94e-06
36, 0, 3.394e-05
37, 0, 7.94e-06
38, 0, 7.94e-06
39, 1, 0.00105894
40, 0, 1.094e-05
41, 0, 8.94e-06
42, 1, 0.00090594
43, 0, 0.00015294
44, 0, 8.94e-06
45, 0, 6.594e-05
46, 0, 7.94e-06
47, 0, 7.94e-06
48, 1, 0.00115094
49, 0, 3.194e-05
50, 1, 0.00125994
51, 0, 8.94e-06
52, 1, 0.00228994
53, 0, 1.494e-05
54, 1, 0.00041394
55, 1, 0.00063994
56, 0, 0.00017894
57, 0, 1.094e-05
58, 0, 9.94e-06
59, 0, 0.00659394
60, 0, 9.94e-06
61, 0, 2.694e-05
62, 1, 0.00377694
63, 1, 0.00284094
64, 1, 0.00518494
65, 0, 1.094e-05
66, 0, 2.094e-05
67, 0, 1.494e-05
68, 0, 0.00153694
69, 0, 5.094e-05
70, 0, 8.94e-06
71, 0, 2.694e-05
72, 0, 5.794e-05
73, 0, 8.94e-06
74, 0, 8.94e-06
75, 0, 8.94e-06
76, 1, 0.00023294
77, 1, 0.00174894
78, 1, 0.00368994
79, 1, 0.00235294
80, 1, 0.00232094
81, 0, 0.00014194
82, 1, 0.00656194
83, 0, 0.00082894
84, 1, 0.00350294
85, 1, 0.00302494
86, 0, 0.00075994
87, 1, 0.00343394
88, 0, 1.494e-05
89, 1, 0.00532794
90, 1, 0.00592394
91, 0, 9.94e-06
92, 0, 8.94e-06
93, 1, 0.00809394
94, 0, 2.994e-05
95, 0, 5.094e-05
96, 0, 0.00010594
97, 0, 0.00011094
98, 0, 2.694e-05
99, 0, 0.00013394
100, 0, 1.394e-05
101, 1, 0.00292494
102, 0, 1.094e-05
103, 1, 0.00616994
104, 0, 9.94e-06
105, 1, 0.00057194
106, 1, 0.00051094
107, 1, 0.00142094
108, 0, 1.094e-05
109, 0, 1.194e-05
110, 1, 0.00085094
111, 1, 0.00388494
112, 0, 4.294e-05
113, 0, 9.94e-06
114, 0, 8.94e-06
115, 1, 0.00077794
116, 1, 0.00246094
117, 0, 0.00011794
118, 0, 9.94e-06
119, 0, 2.494e-05
120, 0, 2.294e-05
121, 0, 0.00771694
122, 0, 1.494e-05
123, 0, 1.094e-05
124, 0, 1.194e-05
125, 1, 0.00017194
126, 0, 1.194e-05
127, 0, 1.094e-05
128, 0, 5.194e-05
129, 0, 1.194e-05
130, 0, 6.394e-05
131, 0, 6.594e-05
132, 1, 0.00311394
133, 0, 9.694e-05
134, 1, 0.00101194
135, 0, 2.594e-05
136, 1, 0.00168494
137, 1, 0.00817894
138, 1, 0.00075094
139, 0, 0.00062794
140, 0, 0.00017794
141, 0, 0.00030194
142, 1, 0.00121094
143, 0, 0.00026394
144, 1, 0.00483694
145, 0, 5.394e-05
146, 0, 8.594e-05
147, 0, 7.594e-05
148, 0, 8.94e-06
149, 0, 8.794e-05
150, 1, 0.00241994
151, 1, 0.00198294
152, 0, 2.594e-05
153, 0, 1.594e-05
154, 0, 1.494e-05
155, 0, 3.394e-05
156, 1, 0.00244694
157, 0, 9.94e-06
158, 0, 4.294e-05
159, 0, 8.94e-06
160, 0, 8.94e-06
161, 1, 0.00101694
162, 1, 0.00163294
163, 0, 6.494e-05
164, 0, 1.294e-05
165, 0, 3.294e-05
166, 0, 0.0124709
167, 0, 1.094e-05
168, 0, 3.094e-05
169, 1, 0.00178494
170, 0, 8.94e-06
171, 0, 8.94e-06
172, 1, 0.00102694
173, 1, 0.00856894
174, 1, 0.00433694
175, 0, 1.194e-05
176, 1, 0.00153094
177, 0, 7.994e-05
178, 0, 1.594e-05
179, 0, 1.094e-05
180, 0, 2.394e-05
181, 1, 0.00518294
182, 0, 1.694e-05
183, 1, 0.00100294
184, 0, 9.194e-05
185, 1, 0.00334294
186, 0, 9.94e-06
187, 1, 0.00031994
188, 1, 0.00070094
189, 0, 3.894e-05
190, 0, 8.94e-06
191, 0, 0.00502994
192, 0, 9.94e-06
193, 1, 0.00044194
194, 1, 0.00323894
195, 0, 1.694e-05
196, 1, 0.00205794
197, 0, 1.294e-05
198, 0, 1.394e-05
199, 1, 0.00385194
200, 1, 0.00021894
201, 1, 0.00185094
202, 0, 7.194e-05
203, 0, 2.594e-05
204, 0, 8.94e-06
205, 1, 0.00116994
206, 0, 1.094e-05
207, 0, 0.0121309
208, 0, 4.694e-05
209, 1, 0.00106894
210, 0, 2.394e-05
211, 0, 9.094e-05
212, 0, 8.94e-06
213, 0, 8.94e-06
214, 0, 0.00137694
215, 0, 9.94e-06
216, 1, 0.00096494
217, 1, 0.00144394
218, 0, 8.94e-06
219, 1, 0.00159094
220, 0, 5.694e-05
221, 0, 6.794e-05
222, 0, 1.194e-05
223, 0, 8.94e-06
224, 1, 0.00202394
225, 0, 9.94e-06
226, 0, 8.94e-06
227, 0, 0.00014594
228, 0, 8.94e-06
229, 1, 0.00197994
230, 1, 0.00158794
231, 0, 8.594e-05
232, 0, 0.00012594
233, 1, 0.00041294
234, 0, 0.00050094
235, 1, 0.00068794
236, 1, 0.00076394
237, 0, 9.94e-06
238, 0, 0.00033894
239, 1, 0.00462594
240, 0, 5.494e-05
241, 0, 9.94e-06
242, 1, 0.00088694
243, 0, 0.00442494
244, 1, 0.00342494
245, 0, 1.194e-05
246, 1, 0.00183894
247, 0, 4.794e-05
248, 1, 0.00231294
249, 0, 8.94e-06
250, 0, 8.94e-06
251, 1, 0.00174794
252, 1, 0.00022194
253, 0, 6.394e-05
254, 0, 0.00030394
255, 1, 0.00085994
256, 0, 9.94e-06
257, 1, 0.00265894
258, 0, 1.094e-05
259, 1, 0.00465194
260, 0, 1.194e-05
261, 0, 3.694e-05
