Query, response, time
1, 1, 0.00090392
2, 0, 1.092e-05
3, 0, 0.0189239
4, 0, 0.00019492
5, 0, 0.0182049
6, 0, 0.0124169
7, 1, 0.00467292
8, 1, 0.0101819
9, 1, 0.00265892
10, 0, 1.192e-05
11, 0, 8.92e-06
12, 0, 8.92e-06
13, 0, 4.292e-05
14, 0, 8.92e-06
15, 0, 9.192e-05
16, 0, 6.892e-05
17, 1, 0.0102159
18, 0, 1.192e-05
19, 0, 0.00020292
20, 0, 0.00015892
21, 1, 0.00030392
22, 1, 0.00034592
23, 0, 0.0149839
24, 0, 0.00013892
25, 0, 8.592e-05
26, 0, 8.92e-06
27, 0, 0.00014292
28, 0, 8.292e-05
29, 0, 5.092e-05
30, 1, 0.00978392
31, 0, 0.00013492
32, 0, 1.292e-05
33, 1, 0.00024592
34, 0, 1.292e-05
35, 1, 0.00036592
36, 0, 1.292e-05
37, 1, 0.00417592
38, 1, 0.00094392
39, 1, 0.00658792
40, 1, 0.00921092
41, 1, 0.00499192
42, 0, 9.92e-06
43, 0, 0.00020592
44, 0, 6.592e-05
45, 1, 0.00375992
46, 0, 8.92e-06
47, 0, 8.92e-06
48, 0, 0.0147289
49, 0, 1.292e-05
50, 0, 9.92e-06
51, 1, 0.0208039
52, 0, 1.692e-05
53, 0, 1.292e-05
54, 0, 8.992e-05
55, 0, 1.292e-05
56, 1, 0.00138892
57, 0, 0.00038892
58, 1, 0.00105192
59, 0, 9.92e-06
60, 1, 0.00743592
61, 1, 0.00341692
62, 0, 8.92e-06
63, 0, 8.092e-05
64, 1, 0.00277092
65, 1, 0.00155492
66, 1, 0.00095892
67, 0, 0.00020392
68, 0, 0.00024092
69, 0, 8.92e-06
70, 0, 0.00018892
71, 1, 0.00467292
72, 1, 0.00441392
73, 1, 0.00332592
74, 0, 9.592e-05
75, 1, 0.00564292
76, 1, 0.00822192
77, 1, 0.00111592
78, 1, 0.00359792
79, 0, 1.592e-05
80, 1, 0.0154719
81, 1, 0.00321892
82, 0, 9.92e-06
83, 0, 7.92e-06
84, 1, 0.00384092
85, 0, 9.92e-06
86, 1, 0.00223792
87, 0, 1.092e-05
88, 0, 8.92e-06
89, 1, 0.0102459
90, 0, 1.092e-05
91, 0, 8.92e-06
92, 0, 9.392e-05
93, 1, 0.00288192
94, 0, 9.92e-06
95, 0, 0.00032292
96, 1, 0.00289292
97, 0, 9.92e-06
98, 0, 8.192e-05
99, 0, 8.92e-06
100, 1, 0.00197292
101, 1, 0.00042392
102, 0, 9.92e-06
103, 1, 0.00100292
104, 0, 9.92e-06
105, 1, 0.00132792
106, 0, 9.92e-06
107, 0, 0.00011692
108, 1, 0.00109092
109, 0, 6.792e-05
110, 0, 8.92e-06
111, 0, 7.92e-06
112, 0, 7.92e-06
113, 0, 7.92e-06
114, 0, 6.892e-05
115, 0, 5.292e-05
116, 0, 7.92e-06
117, 0, 0.00012592
118, 0, 3.892e-05
119, 1, 0.00014192
120, 0, 8.92e-06
121, 0, 0.00012192
122, 0, 7.792e-05
123, 0, 8.92e-06
124, 1, 0.00515992
125, 0, 1.092e-05
126, 1, 0.00315492
127, 0, 0.00014992
128, 1, 0.00096292
129, 1, 0.00357192
130, 0, 1.092e-05
131, 1, 0.00328392
132, 0, 9.92e-06
133, 0, 8.92e-06
134, 1, 0.00312492
135, 0, 9.92e-06
136, 0, 0.00016692
137, 1, 0.00121092
138, 0, 6.992e-05
139, 0, 1.392e-05
140, 0, 0.00010192
141, 1, 0.0111029
142, 0, 0.00052792
143, 0, 0.00044892
144, 1, 0.00508792
145, 0, 1.092e-05
146, 0, 0.00012492
147, 1, 0.00011192
148, 0, 8.92e-06
149, 1, 0.00123692
150, 1, 0.00774792
151, 0, 0.00010992
152, 1, 0.00321192
153, 1, 0.00597492
154, 0, 1.292e-05
155, 0, 8.92e-06
156, 0, 7.92e-06
157, 1, 0.00171892
158, 0, 8.92e-06
159, 1, 0.00184692
160, 0, 0.0151479
161, 1, 0.00418992
162, 1, 0.00113792
163, 0, 0.00011892
164, 0, 2.892e-05
165, 1, 0.00195292
166, 0, 6.792e-05
167, 0, 0.00013192
168, 0, 0.00013692
169, 0, 0.00011692
170, 0, 8.92e-06
171, 0, 8.792e-05
172, 0, 8.92e-06
173, 0, 0.00011092
174, 0, 0.0132299
175, 0, 0.0142719
176, 0, 1.192e-05
177, 1, 0.00143492
178, 0, 9.92e-06
179, 0, 5.992e-05
180, 0, 8.92e-06
181, 1, 0.00203792
182, 0, 9.92e-06
183, 1, 0.00131792
184, 0, 1.492e-05
185, 0, 1.492e-05
186, 1, 0.00063892
187, 1, 0.00269092
188, 0, 9.92e-06
189, 0, 2.792e-05
190, 1, 0.00689892
191, 1, 0.00014092
192, 0, 8.92e-06
193, 0, 0.00023592
194, 0, 0.00029192
195, 0, 0.00011392
196, 1, 0.00116492
197, 0, 8.92e-06
198, 0, 0.0145729
199, 1, 0.00203592
200, 1, 0.00537392
201, 1, 0.00462192
202, 1, 0.00320292
203, 0, 0.00016992
204, 0, 0.00022292
205, 1, 0.00511592
206, 1, 0.0105089
207, 0, 1.192e-05
208, 1, 0.00112592
209, 0, 3.092e-05
210, 1, 0.00252392
211, 1, 0.00262392
212, 0, 5.492e-05
213, 0, 2.992e-05
214, 0, 7.92e-06
215, 0, 0.0105169
216, 0, 1.092e-05
217, 0, 4.792e-05
218, 1, 0.00057792
219, 1, 0.00212292
220, 0, 1.292e-05
221, 0, 1.192e-05
222, 0, 0.00104192
223, 0, 0.00015392
224, 0, 8.92e-06
225, 0, 8.92e-06
226, 1, 0.00153592
227, 0, 8.492e-05
228, 0, 4.892e-05
229, 0, 0.00245992
230, 1, 0.00106792
231, 0, 0.0127819
232, 0, 7.592e-05
233, 0, 7.092e-05
234, 0, 0.00010892
235, 0, 8.92e-06
236, 0, 0.00010192
237, 1, 0.00095192
238, 1, 0.00096092
239, 1, 0.00291592
240, 0, 9.92e-06
241, 0, 7.92e-06
242, 0, 6.92e-06
243, 0, 7.92e-06
244, 1, 0.00146792
245, 0, 4.892e-05
246, 0, 0.00031292
247, 1, 0.00350792
248, 0, 5.892e-05
249, 0, 8.92e-06
250, 0, 6.092e-05
251, 0, 8.92e-06
252, 0, 9.492e-05
253, 0, 0.00022392
254, 1, 0.00195792
255, 0, 6.392e-05
256, 0, 8.92e-06
257, 0, 8.92e-06
258, 0, 0.00030892
259, 1, 0.00166492
260, 1, 0.0119599
261, 0, 1.092e-05
262, 0, 8.92e-06
263, 0, 8.92e-06
264, 1, 0.00782792
265, 1, 0.00194692
266, 0, 8.92e-06
267, 1, 0.00179392
268, 0, 9.92e-06
269, 0, 0.0131939
270, 0, 4.892e-05
271, 1, 0.00256392
272, 0, 9.92e-06
273, 0, 7.92e-06
274, 0, 0.00014592
275, 1, 0.0146839
276, 1, 0.00189992
277, 0, 9.92e-06
278, 0, 8.92e-06
279, 1, 0.00433492
280, 0, 9.092e-05
281, 0, 7.92e-06
282, 0, 0.00039292
283, 0, 9.192e-05
284, 1, 0.00479392
285, 0, 0.00012092
286, 1, 0.00428792
287, 0, 0.00026592
288, 1, 0.00093992
289, 0, 9.92e-06
290, 1, 0.00552792
291, 1, 0.00369892
292, 0, 0.00013192
293, 1, 0.0108739
294, 0, 9.92e-06
295, 1, 0.00108192
296, 0, 9.92e-06
297, 0, 0.00011992
298, 0, 0.00010092
299, 0, 0.00015792
300, 0, 8.92e-06
301, 1, 0.00080992
302, 0, 1.392e-05
303, 0, 0.00051392
304, 1, 0.0135589
305, 0, 1.092e-05
306, 0, 8.92e-06
307, 0, 8.92e-06
308, 1, 0.00152592
309, 1, 0.00957292
310, 1, 0.00225992
311, 0, 0.00037292
312, 0, 1.192e-05
313, 0, 2.692e-05
314, 0, 8.92e-06
315, 0, 8.92e-06
316, 1, 0.00077692
317, 0, 9.92e-06
318, 0, 8.92e-06
319, 0, 0.00036692
320, 1, 0.00024392
321, 0, 8.592e-05
322, 0, 4.392e-05
323, 1, 0.00198992
324, 1, 0.00968692
325, 0, 0.00024692
326, 0, 0.00012092
327, 0, 0.0130559
328, 0, 1.192e-05
329, 0, 8.92e-06
330, 0, 0.00024392
331, 1, 0.00187992
332, 1, 0.00660092
333, 0, 0.00013492
334, 0, 8.92e-06
335, 1, 0.00354392
336, 0, 9.92e-06
337, 1, 0.00101992
338, 0, 0.00038192
339, 0, 0.0101969
340, 0, 4.892e-05
341, 0, 7.492e-05
342, 1, 0.00402692
343, 0, 1.292e-05
344, 0, 8.92e-06
345, 0, 8.92e-06
346, 0, 8.92e-06
347, 0, 8.92e-06
348, 0, 0.00014892
349, 1, 0.00533792
350, 1, 0.00559292
351, 0, 0.00093992
352, 1, 0.00192092
353, 0, 9.92e-06
354, 0, 8.92e-06
355, 1, 0.00851992
356, 0, 1.192e-05
357, 0, 6.692e-05
358, 0, 8.92e-06
359, 0, 8.892e-05
360, 0, 9.992e-05
361, 0, 0.00022292
362, 0, 4.092e-05
363, 0, 8.92e-06
364, 0, 7.92e-06
365, 1, 0.00158392
366, 0, 1.092e-05
367, 1, 0.00271192
368, 1, 0.00113092
369, 0, 9.92e-06
370, 0, 7.92e-06
371, 1, 0.00103692
372, 1, 0.00061892
373, 1, 0.00123592
374, 1, 0.00667792
375, 0, 1.192e-05
376, 1, 0.00081992
377, 1, 0.00174092
378, 1, 0.00441592
379, 0, 0.00014892
380, 0, 8.92e-06
381, 1, 0.00134292
382, 0, 8.92e-06
383, 1, 0.00523792
384, 0, 0.00014292
385, 0, 9.92e-06
386, 1, 0.00735192
387, 0, 0.0128179
388, 0, 0.00011092
389, 0, 8.92e-06
390, 0, 8.92e-06
391, 1, 0.00137992
392, 0, 9.592e-05
393, 1, 0.00504292
394, 0, 9.92e-06
395, 0, 8.92e-06
396, 0, 0.0121769
397, 1, 0.00454892
398, 1, 0.00057092
399, 0, 1.092e-05
400, 0, 8.92e-06
401, 0, 8.92e-06
402, 0, 0.0129859
403, 0, 1.192e-05
404, 0, 0.00018492
405, 0, 9.92e-06
406, 0, 0.00013792
407, 0, 8.92e-06
408, 0, 0.0120729
409, 1, 0.00908492
410, 0, 8.992e-05
411, 1, 0.00228092
412, 0, 8.92e-06
413, 0, 0.00011592
414, 1, 0.00029092
415, 0, 7.392e-05
416, 0, 0.00015892
417, 0, 8.92e-06
418, 1, 0.00388392
419, 0, 0.00468992
420, 0, 0.00036492
421, 0, 0.00015092
422, 1, 0.00505392
423, 0, 9.592e-05
424, 0, 9.92e-06
425, 0, 8.92e-06
