Initialization Time: 9.86077
Query, response, time
1, 0, 0.00014994
2, 0, 5.594e-05
3, 0, 0.00023494
4, 0, 5.994e-05
5, 0, 2.194e-05
6, 0, 1.594e-05
7, 0, 1.894e-05
8, 0, 1.894e-05
9, 1, 0.00496994
10, 0, 1.494e-05
11, 1, 0.00317794
12, 1, 0.00134094
13, 1, 0.00235094
14, 0, 1.694e-05
15, 1, 0.00132494
16, 1, 0.00300794
17, 0, 1.394e-05
18, 0, 1.294e-05
19, 1, 0.00427994
20, 0, 0.00014694
21, 1, 0.00446094
22, 0, 3.494e-05
23, 0, 1.094e-05
24, 0, 0.00010294
25, 1, 0.00769994
26, 1, 0.00391994
27, 0, 3.494e-05
28, 0, 9.194e-05
29, 0, 0.00025694
30, 1, 0.00640994
31, 0, 0.00010594
32, 0, 0.0172469
33, 0, 1.194e-05
34, 1, 0.00273994
35, 0, 9.94e-06
36, 1, 0.00459294
37, 0, 9.94e-06
38, 1, 0.00426294
39, 0, 5.394e-05
40, 0, 7.94e-06
41, 0, 7.94e-06
42, 0, 7.94e-06
43, 0, 8.94e-06
44, 0, 7.194e-05
45, 0, 8.94e-06
46, 0, 0.0109039
47, 0, 0.00010094
48, 1, 0.00816194
49, 1, 0.00021794
50, 0, 0.00018194
51, 1, 0.00093294
52, 0, 1.594e-05
53, 1, 0.00046694
54, 1, 0.00112994
55, 1, 0.00333694
56, 0, 9.94e-06
57, 0, 7.94e-06
58, 0, 7.94e-06
59, 0, 8.94e-06
60, 0, 8.94e-06
61, 0, 0.00058194
62, 1, 0.00112394
63, 0, 8.94e-06
64, 0, 1.194e-05
65, 0, 1.194e-05
66, 0, 9.94e-06
67, 0, 2.394e-05
68, 1, 0.00163394
69, 0, 2.494e-05
70, 1, 0.00551794
71, 0, 0.00014694
72, 1, 0.00143894
73, 0, 2.494e-05
74, 1, 0.00130494
75, 0, 8.94e-06
76, 0, 0.00019094
77, 1, 0.00314094
78, 1, 0.00274294
79, 0, 6.994e-05
80, 0, 8.94e-06
81, 0, 8.94e-06
82, 1, 0.00071694
83, 0, 5.294e-05
84, 0, 0.00753394
85, 0, 0.00014794
86, 0, 8.94e-06
87, 0, 2.894e-05
88, 0, 0.00010594
89, 1, 0.0119209
90, 1, 0.00381094
91, 1, 0.00113694
92, 1, 0.00492894
93, 1, 0.00055194
94, 0, 3.694e-05
95, 1, 0.00345594
96, 0, 8.94e-06
97, 1, 0.00064194
98, 1, 0.00214794
99, 0, 4.794e-05
100, 0, 0.00897094
101, 1, 0.00070694
102, 0, 8.94e-06
103, 0, 0.00809694
104, 1, 0.00101394
105, 1, 0.00374594
106, 0, 3.894e-05
107, 0, 2.594e-05
108, 0, 0.00044194
109, 0, 5.494e-05
110, 1, 0.00422594
111, 0, 9.94e-06
112, 1, 0.00221594
113, 0, 9.94e-06
114, 1, 0.00742994
115, 0, 5.494e-05
116, 1, 0.00146394
117, 1, 0.00103894
118, 1, 0.00403894
119, 0, 8.94e-06
120, 0, 8.94e-06
121, 0, 7.94e-06
122, 0, 9.394e-05
123, 0, 8.94e-06
124, 0, 7.94e-06
125, 1, 0.00414994
126, 0, 0.00022594
127, 0, 8.94e-06
128, 1, 0.00069894
129, 0, 8.94e-06
130, 1, 0.00161794
131, 1, 0.00991694
132, 1, 0.00158194
133, 1, 0.00216694
134, 0, 0.00010694
135, 0, 8.94e-06
136, 0, 5.794e-05
137, 1, 0.00116694
138, 0, 8.94e-06
139, 0, 8.94e-06
140, 1, 0.00621794
141, 1, 0.00053494
142, 0, 7.294e-05
143, 0, 9.94e-06
144, 1, 0.00660394
145, 1, 0.00230594
146, 1, 0.00188194
147, 1, 0.00336094
148, 0, 0.0103039
149, 1, 0.00405994
150, 1, 0.00624194
151, 0, 5.794e-05
152, 0, 8.94e-06
153, 1, 0.00072694
154, 0, 1.094e-05
155, 1, 0.00095394
156, 1, 0.00584194
157, 0, 1.094e-05
158, 0, 9.94e-06
159, 0, 8.94e-06
160, 0, 0.00011394
161, 0, 0.00011694
162, 0, 9.94e-06
163, 0, 4.994e-05
164, 0, 8.94e-06
165, 1, 0.00054594
166, 0, 9.94e-06
167, 0, 9.94e-06
168, 0, 9.94e-06
169, 0, 0.00027394
170, 0, 9.94e-06
171, 0, 9.94e-06
172, 1, 0.00072794
173, 0, 9.94e-06
174, 1, 0.00207994
175, 0, 8.94e-06
176, 0, 0.0106239
177, 0, 0.00806694
178, 0, 0.00011294
179, 0, 8.94e-06
180, 1, 0.00168994
181, 1, 0.00517594
182, 0, 1.094e-05
183, 0, 7.94e-06
184, 1, 0.00219894
185, 0, 7.94e-06
186, 0, 8.94e-06
